masked	src
ⲁϥϫⲓⲧϥ ⲁ ϥ ϫⲓⲧ [MASK] ⲛⲁϥ ⲛⲁ ϥ . [MASK] ⲛⲧⲉⲣⲉ ϥ ⲛⲁⲩ ⲇⲉ ⲉⲣⲟϥ [MASK] ϥ ⲛϭⲓⲡⲉⲡⲛⲉⲩⲙⲁ ⲛϭⲓ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ ⲛ ⲁⲕⲁⲑⲁⲣⲧⲟⲛ . ⲛⲧⲉⲩⲛⲟⲩ ⲛ ⲧⲉ ⲩⲛⲟⲩ ⲁϥⲣⲁϩⲧⲡⲣⲱⲙⲉ ⲁ [MASK] ⲣⲁϩⲧ [MASK] ⲣⲱⲙⲉ ⲉⲡⲕⲁϩ ⲉ ⲡ ⲕⲁϩ ⲁⲩⲱ ⲛⲧⲉⲣⲉϥϩⲉ ⲛⲧⲉⲣⲉ ϥ ϩⲉ ⲁϥϩⲓⲧⲉ ⲁ ϥ ϩⲓⲧⲉ ϩⲓⲡⲉⲥⲏⲧ ϩⲓ [MASK] ⲉⲥⲏⲧ ⲉϥⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ ⲉ ϥ ⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ ⲉⲃⲟⲗ.	ⲁϥϫⲓⲧϥ ⲛⲁϥ . ⲛⲧⲉⲣⲉϥⲛⲁⲩ ⲇⲉ ⲉⲣⲟϥ ⲛϭⲓⲡⲉⲡⲛⲉⲩⲙⲁ ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ . ⲛⲧⲉⲩⲛⲟⲩ ⲁϥⲣⲁϩⲧⲡⲣⲱⲙⲉ ⲉⲡⲕⲁϩ ⲁⲩⲱ ⲛⲧⲉⲣⲉϥϩⲉ ⲁϥϩⲓⲧⲉ ϩⲓⲡⲉⲥⲏⲧ ⲉϥⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ ⲉⲃⲟⲗ .
ϭⲟⲗ ·	ϭⲟⲗ ·
ⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲉⲣⲉ ⲡ [MASK] ⲅⲁⲣ ⲙⲉ ⲙⲡⲛⲁ ⲙ ⲡ ⲛⲁ ⲙⲛⲡϩⲁⲡ ⲙⲛ ⲡ ϩⲁⲡ · ⲉⲧⲣⲉϥⲑⲛⲟϥ ⲉ ⲧⲣⲉ ϥ ⲑⲛⲟ ϥ ⲉϩⲟⲩⲛ ⲉⲡϫⲟⲉⲓⲥ ⲉ ⲡ ϫⲟⲉⲓⲥ ⲛϭⲓⲡⲉⲧϥⲓ ⲛϭⲓ ⲡ ⲉⲧ [MASK] ⲙⲡⲣⲟⲟⲩϣ ⲙ [MASK] ⲣⲟⲟⲩϣ ⲙⲡⲛⲁ [MASK] ⲡ ⲛⲁ ·	ⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲅⲁⲣ ⲙⲉ ⲙⲡⲛⲁ ⲙⲛⲡϩⲁⲡ · ⲉⲧⲣⲉϥⲑⲛⲟϥ ⲉϩⲟⲩⲛ ⲉⲡϫⲟⲉⲓⲥ ⲛϭⲓⲡⲉⲧϥⲓ ⲙⲡⲣⲟⲟⲩϣ ⲙⲡⲛⲁ ·
ⲁⲣⲓⲡⲁⲙⲉⲉⲩⲉ ⲁⲣⲓ ⲡⲁ ⲙⲉⲉⲩⲉ ϭⲉ ⲱ ⲡⲁⲥⲟⲛ ⲡⲁ ⲥⲟⲛ ⲙⲙⲉⲣⲓⲧ ⲙ ⲙⲉⲣⲓⲧ ⲛⲧⲉⲡϫⲟⲉⲓⲥ ⲛⲧⲉ ⲡ ϫⲟⲉⲓⲥ ϫⲱⲕⲧ ϫⲱⲕ ⲧ ⲉⲃⲟⲗ [MASK] ϩⲙ ⲡ ⲁⲅⲱⲛ ⲉⲧⲛⲁⲛⲟⲩϥ ⲉⲧ ⲛⲁⲛⲟⲩ ϥ ⲛⲧⲁϥⲧⲁϩⲙⲉⲧ [MASK] ⲁ [MASK] ⲧⲁϩⲙⲉ ⲧ [MASK] ⲉⲣⲟ ϥ ·	ⲁⲣⲓⲡⲁⲙⲉⲉⲩⲉ ϭⲉ ⲱ ⲡⲁⲥⲟⲛ ⲙⲙⲉⲣⲓⲧ ⲛⲧⲉⲡϫⲟⲉⲓⲥ ϫⲱⲕⲧ ⲉⲃⲟⲗ ϩⲙⲡⲁⲅⲱⲛ ⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲧⲁϥⲧⲁϩⲙⲉⲧ ⲉⲣⲟϥ ·
ϫⲉⲕϫⲱ ϫⲉ ⲕ ϫⲱ ⲙⲙⲟⲥ ⲙⲙⲟ ⲥ ϫⲉϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ [MASK] [MASK] ⲟⲩ ϣⲱⲡⲉ ⲙⲡϥⲥϭⲏⲣ ⲙⲡ ϥ ⲥϭⲏⲣ [MASK] [MASK] ⲉ ϥ ϫⲱ ⲙⲙⲟⲥ ⲙⲙⲟ ⲥ ϫⲉϯⲛⲁⲃⲱⲕ ϫⲉ ϯ ⲛⲁ ⲃⲱⲕ . ⲉϥⲛⲉϫ ⲉ ϥ ⲛⲉϫ ϩⲟⲟⲩ ⲛⲥⲁϩⲟⲟⲩ ⲛⲥⲁ ϩⲟⲟⲩ.	ϫⲉⲕϫⲱ ⲙⲙⲟⲥ ϫⲉϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ ⲙⲡϥⲥϭⲏⲣ , ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉϯⲛⲁⲃⲱⲕ . ⲉϥⲛⲉϫ ϩⲟⲟⲩ ⲛⲥⲁϩⲟⲟⲩ .
ⲁⲩⲱ ⲛⲧⲉⲩⲛⲟⲩ ⲛ ⲧⲉ ⲩⲛⲟⲩ [MASK] ⲁ ⲩ ϣⲁϫⲉ ⲛⲙⲙⲁϥ ⲛⲙⲙⲁ ϥ ⲉⲧⲃⲏⲏⲧⲥ ⲉⲧⲃⲏⲏⲧ [MASK].	ⲁⲩⲱ ⲛⲧⲉⲩⲛⲟⲩ ⲁⲩϣⲁϫⲉ ⲛⲙⲙⲁϥ ⲉⲧⲃⲏⲏⲧⲥ .
ⲕⲁⲓ ⲅⲁⲣ ⲡⲣⲱϣⲉ ⲡ [MASK] ⲛⲉⲅⲕⲣⲁⲧⲉⲓⲁ ⲛ ⲉⲅⲕⲣⲁⲧⲉⲓⲁ ϣⲁⲩⲣⲡⲣⲱⲙⲉ ϣⲁ ⲩ ⲣ ⲡ ⲣⲱⲙⲉ ⲛϭⲱⲃ ⲛ ϭⲱⲃ [MASK] ⲉ ⲡⲉ ϩⲟⲩⲟ ·	ⲕⲁⲓ ⲅⲁⲣ ⲡⲣⲱϣⲉ ⲛⲉⲅⲕⲣⲁⲧⲉⲓⲁ ϣⲁⲩⲣⲡⲣⲱⲙⲉ ⲛϭⲱⲃ ⲉⲡⲉϩⲟⲩⲟ ·
ⲙⲁⲣⲛⲁⲅⲱⲛⲓⲍⲉ ⲙⲁⲣ ⲛ ⲁⲅⲱⲛⲓⲍⲉ ·	ⲙⲁⲣⲛⲁⲅⲱⲛⲓⲍⲉ ·
ⲡⲡⲉⲧⲟⲩⲁⲁⲃ ⲡ ⲡⲉⲧⲟⲩⲁⲁⲃ ⲇⲉ ⲛⲧⲟϥ ⲇⲏⲙⲏⲧⲣⲓⲟⲥ ⲉⲛⲉⲛⲧⲁϥⲛⲕⲟⲧⲕ ⲉⲛⲉ [MASK] ⲁ ϥ ⲛⲕⲟⲧⲕ ⲙⲛⲧⲉϥⲥϩⲓⲙⲉ ⲙⲛ ⲧⲉϥ ⲥϩⲓⲙⲉ [MASK] ⲛⲉⲙⲛⲛⲟⲃⲉ ⲛⲉ ⲙⲛ ⲛⲟⲃⲉ ⲉⲣⲟϥ ⲉⲣⲟ ϥ ⲡⲉ ⲛⲧⲁⲩϣⲟⲛⲃⲟⲩ ⲛⲧ ⲁ [MASK] ϣⲟⲛⲃ ⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ [MASK] ⲛⲉⲩ ⲉⲣⲏⲩ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲛⲟⲩⲧⲉ ϩⲓⲧⲙ ⲡ ⲛⲟⲩⲧⲉ ·	ⲡⲡⲉⲧⲟⲩⲁⲁⲃ ⲇⲉ ⲛⲧⲟϥ ⲇⲏⲙⲏⲧⲣⲓⲟⲥ ⲉⲛⲉⲛⲧⲁϥⲛⲕⲟⲧⲕ ⲙⲛⲧⲉϥⲥϩⲓⲙⲉ · ⲛⲉⲙⲛⲛⲟⲃⲉ ⲉⲣⲟϥ ⲡⲉ ⲛⲧⲁⲩϣⲟⲛⲃⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲛⲟⲩⲧⲉ ·
ⲓⲱϩⲁⲛⲛⲏⲥ ⲇⲉ [MASK] ⲡⲉϫⲁ ϥ ⲙⲡϩⲙϩⲁⲗ [MASK] [MASK] ϩⲙϩⲁⲗ ⲉⲧⲙⲟⲟϣⲉ ⲉⲧ ⲙⲟⲟϣⲉ ⲛⲙⲙⲁϥ ⲛⲙⲙⲁ ϥ ϫⲉⲧⲱⲟⲩⲛ ϫⲉ ⲧⲱⲟⲩⲛ ⲛⲅⲃⲱⲕ ⲛ ⲅ ⲃⲱⲕ ⲉⲡⲡⲁⲗⲗⲁϯⲟⲛ ⲉ ⲡ ⲡⲁⲗⲗⲁϯⲟⲛ [MASK] ϩⲁϩⲧⲛ ⲛⲉ ⲥⲭⲟⲗⲁⲥⲧⲓⲕⲟⲥ ⲛⲅⲛⲁⲩ [MASK] ⲅ ⲛⲁⲩ ϫⲉⲁⲩⲥⲱⲟⲩϩ ϫⲉ ⲁ ⲩ ⲥⲱⲟⲩϩ ⲧⲏⲣⲟⲩ ⲧⲏⲣ [MASK] ⲛⲅⲉⲓ ⲛ ⲅ ⲉⲓ ⲛⲅⲧⲁⲙⲟⲓ ⲛ ⲅ ⲧⲁⲙⲟ ⲓ ϩⲛⲟⲩϭⲉⲡⲏ ϩⲛ ⲟⲩ ϭⲉⲡⲏ	ⲓⲱϩⲁⲛⲛⲏⲥ ⲇⲉ ⲡⲉϫⲁϥ ⲙⲡϩⲙϩⲁⲗ ⲉⲧⲙⲟⲟϣⲉ ⲛⲙⲙⲁϥ ϫⲉⲧⲱⲟⲩⲛ ⲛⲅⲃⲱⲕ ⲉⲡⲡⲁⲗⲗⲁϯⲟⲛ ϩⲁϩⲧⲛⲛⲉⲥⲭⲟⲗⲁⲥⲧⲓⲕⲟⲥ ⲛⲅⲛⲁⲩ ϫⲉⲁⲩⲥⲱⲟⲩϩ ⲧⲏⲣⲟⲩ ⲛⲅⲉⲓ ⲛⲅⲧⲁⲙⲟⲓ ϩⲛⲟⲩϭⲉⲡⲏ
