masked	src
vatse baṣkaye adhi sapta tantūn vi tatnire kavayaḥ [MASK] u	vatse baṣkaye adhi sapta tantūn vi tatnire kavayaḥ otavai u
tasmāt u idam [MASK] na anvābhavanti	tasmāt u idam asurāḥ na anvābhavanti
tābuvena arasam viṣam	tābuvena arasam viṣam
[MASK] yaviṣṭha bhārata agne dyumantam ā bhara vaso puruspṛham rayim	śreṣṭham yaviṣṭha bhārata agne dyumantam ā bhara vaso puruspṛham rayim
indrasya vacasā hata	indrasya vacasā hata
tatra amṛtasya āsiktam	tatra amṛtasya āsiktam
asmākam vipremāṇam anu idam asurāḥ [MASK] iti	asmākam vipremāṇam anu idam asurāḥ ābhaviṣyanti iti
indriyeṇa vai eṣa vīryeṇa vyṛdhyate yaḥ alam bhūtyai [MASK] na bhavati	indriyeṇa vai eṣa vīryeṇa vyṛdhyate yaḥ alam bhūtyai san na bhavati
tejasā enam pracchinatti	tejasā enam pracchinatti
traiṣṭubhaḥ vai rājanyaḥ ojaḥ vai indriyam vīryam [MASK]	traiṣṭubhaḥ vai rājanyaḥ ojaḥ vai indriyam vīryam triṣṭubh
yat yajñe abhirūpam tat samṛddham	yat yajñe abhirūpam tat samṛddham
adbhiḥ abhiṣiñcanti	adbhiḥ abhiṣiñcanti
saṃvatsaraḥ prajāpatiḥ	saṃvatsaraḥ prajāpatiḥ
añjanti [MASK] prathayantaḥ na viprāḥ iti ajyamānāya abhirūpā	añjanti yam prathayantaḥ na viprāḥ iti ajyamānāya abhirūpā
kratvā naḥ manyo saha medī edhi mahā dhanasya puru hūta [MASK]	kratvā naḥ manyo saha medī edhi mahā dhanasya puru hūta saṃsṛji
yaḥ soma pītham [MASK] prayāja āhutibhiḥ udaṅ saḥ iyāt	yaḥ soma pītham icchet prayāja āhutibhiḥ udaṅ saḥ iyāt
sam arpaya indra mahatā vadhena	sam arpaya indra mahatā vadhena
tasya sahasrasya agratas kubhraḥ udait	tasya sahasrasya agratas kubhraḥ udait
etāḥ vai aśarīrāḥ āhutayaḥ	etāḥ vai aśarīrāḥ āhutayaḥ
madhyam [MASK] yajñasya yat antarā prayāja anuyājān	madhyam etat yajñasya yat antarā prayāja anuyājān
kṛṣṇaḥ bhavati	kṛṣṇaḥ bhavati
āyutam pitṝṇām	āyutam pitṝṇām
hatam tardam samaṅkam ākhum aśvinā	hatam tardam samaṅkam ākhum aśvinā
nava ālabhyante	nava ālabhyante
grāhiḥ jagrāha yadi vā etat enam [MASK] indra agnī pra mumuktam enam	grāhiḥ jagrāha yadi vā etat enam tasyāḥ indra agnī pra mumuktam enam
te samyañcaḥ vaiśvāmitrāḥ sarve sākam sa rātayaḥ devarātāya tasthire [MASK] śraiṣṭhyāya gāthināḥ	te samyañcaḥ vaiśvāmitrāḥ sarve sākam sa rātayaḥ devarātāya tasthire dhṛtyai śraiṣṭhyāya gāthināḥ
sā sarūpam idam kṛdhi	sā sarūpam idam kṛdhi
te asmai annādyam prayacchataḥ	te asmai annādyam prayacchataḥ
pañca prāśnanti	pañca prāśnanti
gomṛgam vāyave ālabheta	gomṛgam vāyave ālabheta
anusṛṣṭaḥ iva hi etasya soma pīthaḥ yasya pitā pitāmahaḥ [MASK] na pibati	anusṛṣṭaḥ iva hi etasya soma pīthaḥ yasya pitā pitāmahaḥ somam na pibati
yat divi cakrathuḥ payaḥ tena imām [MASK] siñcatam	yat divi cakrathuḥ payaḥ tena imām upa siñcatam
svārājyam eva gacchati	svārājyam eva gacchati
tiras iva vai etat vācaḥ yat upāṃśu tiras iva etat [MASK] rakṣāṃsi	tiras iva vai etat vācaḥ yat upāṃśu tiras iva etat yat rakṣāṃsi
tam viśve devāḥ ūcuḥ indraḥ vai devānām ojiṣṭhaḥ baliṣṭhaḥ sahiṣṭhaḥ [MASK] tam nu stuhi atha [MASK] utsrakṣyāmaḥ iti	tam viśve devāḥ ūcuḥ indraḥ vai devānām ojiṣṭhaḥ baliṣṭhaḥ sahiṣṭhaḥ sattamaḥ tam nu stuhi atha tvā utsrakṣyāmaḥ iti
sinīvālī nayatu ā agram eṣām	sinīvālī nayatu ā agram eṣām
aṃśuḥ iva ā pyāyatām ayam	aṃśuḥ iva ā pyāyatām ayam
bhartrī hi śaśvatām asi janānām [MASK] nyañcanī	bhartrī hi śaśvatām asi janānām ca nyañcanī
tam eva bhāgadheyena upāsarat	tam eva bhāgadheyena upāsarat
[MASK] yajñam su kṛtasya yonau iti	sādaya yajñam su kṛtasya yonau iti
kairāta pṛśne upatṛṇya babhro ā [MASK] śṛṇuta asitāḥ alīkāḥ	kairāta pṛśne upatṛṇya babhro ā me śṛṇuta asitāḥ alīkāḥ
vaiṣṇava vāruṇīm tu [MASK] vaśām ālabhata	vaiṣṇava vāruṇīm tu pūrvām vaśām ālabhata
na enam śarvaḥ na [MASK] na īśānaḥ [MASK] asya paśūn na samānān hinasti yaḥ evam veda	na enam śarvaḥ na bhavaḥ na īśānaḥ na asya paśūn na samānān hinasti yaḥ evam veda
ye triṣaptāḥ pariyanti viśvā rūpāṇi bibhrataḥ vācaspatiḥ balā teṣām [MASK] adya dadhātu me	ye triṣaptāḥ pariyanti viśvā rūpāṇi bibhrataḥ vācaspatiḥ balā teṣām tanvaḥ adya dadhātu me
iyam vai pūṣā	iyam vai pūṣā
sā vai rākṣasī vāc	sā vai rākṣasī vāc
muñca śīrṣaktyāḥ uta kāsaḥ enam [MASK] paruḥ āviveśa yaḥ asya	muñca śīrṣaktyāḥ uta kāsaḥ enam paruḥ paruḥ āviveśa yaḥ asya
uta tyam camasam navam tvaṣṭuḥ devasya niṣkṛtam [MASK] caturaḥ punar	uta tyam camasam navam tvaṣṭuḥ devasya niṣkṛtam akarta caturaḥ punar
kravyādam [MASK] rudhiram piśācam manaḥ hanam jahi jātavedaḥ	kravyādam agne rudhiram piśācam manaḥ hanam jahi jātavedaḥ
vyāghra pratīkaḥ ava bādhasva śatrūn	vyāghra pratīkaḥ ava bādhasva śatrūn
tāḥ tāḥ kalpamānāḥ kalpamānāḥ anu anu manuṣya viśaḥ [MASK] iti	tāḥ tāḥ kalpamānāḥ kalpamānāḥ anu anu manuṣya viśaḥ kalpante iti
imāḥ dhānāḥ ghṛtasnuvaḥ	imāḥ dhānāḥ ghṛtasnuvaḥ
saḥ etayā ṛcā prātaranuvākam pratyapadyata	saḥ etayā ṛcā prātaranuvākam pratyapadyata
purā śakuni vādāt anubrūyāt	purā śakuni vādāt anubrūyāt
sa jāyamānaḥ etam yonim niravartayat	sa jāyamānaḥ etam yonim niravartayat
indriyeṇa eva abhimātim pāpmānam bhrātṛvyam [MASK] vṛtratūr eva abhūt	indriyeṇa eva abhimātim pāpmānam bhrātṛvyam apahatya vṛtratūr eva abhūt
tathā eva etat yajamānāḥ yat paryagni kurvanti agni mayīḥ [MASK] tat [MASK] tripuram paryasyante yajñasya ca ātmanaḥ ca guptyai	tathā eva etat yajamānāḥ yat paryagni kurvanti agni mayīḥ eva tat puras tripuram paryasyante yajñasya ca ātmanaḥ ca guptyai
tāḥ etāḥ saptadaśa [MASK] rūpa samṛddhāḥ	tāḥ etāḥ saptadaśa anvāha rūpa samṛddhāḥ
