masked	src
ⲁϥϫⲓ[_]ϥ ⲛⲁϥ . ⲛⲧ[_]ⲣⲉϥⲛⲁⲩ ⲇⲉ ⲉⲣⲟϥ ⲛ[_]ⲓⲡⲉⲡⲛ[_]ⲩⲙⲁ ⲛⲁⲕⲁ[_]ⲁⲣⲧⲟⲛ . ⲛⲧⲉⲩⲛⲟⲩ ⲁϥⲣⲁϩⲧⲡⲣⲱⲙⲉ ⲉⲡⲕⲁϩ ⲁⲩⲱ ⲛⲧⲉⲣ[_]ϥϩⲉ ⲁϥϩⲓⲧⲉ ϩⲓⲡⲉⲥⲏⲧ ⲉϥⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ ⲉⲃⲟⲗ .	ⲁϥϫⲓⲧϥ ⲛⲁϥ . ⲛⲧⲉⲣⲉϥⲛⲁⲩ ⲇⲉ ⲉⲣⲟϥ ⲛϭⲓⲡⲉⲡⲛⲉⲩⲙⲁ ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ . ⲛⲧⲉⲩⲛⲟⲩ ⲁϥⲣⲁϩⲧⲡⲣⲱⲙⲉ ⲉⲡⲕⲁϩ ⲁⲩⲱ ⲛⲧⲉⲣⲉϥϩⲉ ⲁϥϩⲓⲧⲉ ϩⲓⲡⲉⲥⲏⲧ ⲉϥⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ ⲉⲃⲟⲗ .
ϭⲟⲗ ·	ϭⲟⲗ ·
ⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲅⲁⲣ ⲙⲉ ⲙⲡⲛⲁ [_]ⲛⲡϩⲁⲡ [_] ⲉⲧⲣⲉϥⲑⲛⲟϥ ⲉϩⲟⲩ[_] ⲉⲡϫⲟⲉⲓⲥ ⲛϭⲓⲡⲉⲧϥⲓ ⲙⲡⲣⲟⲟⲩϣ[_]ⲙⲡⲛⲁ ·	ⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲅⲁⲣ ⲙⲉ ⲙⲡⲛⲁ ⲙⲛⲡϩⲁⲡ · ⲉⲧⲣⲉϥⲑⲛⲟϥ ⲉϩⲟⲩⲛ ⲉⲡϫⲟⲉⲓⲥ ⲛϭⲓⲡⲉⲧϥⲓ ⲙⲡⲣⲟⲟⲩϣ ⲙⲡⲛⲁ ·
ⲁⲣⲓⲡⲁⲙⲉⲉⲩⲉ ϭⲉ ⲱ[_]ⲡⲁⲥⲟⲛ ⲙⲙⲉⲣⲓⲧ ⲛⲧⲉⲡϫ[_]ⲉⲓⲥ ϫⲱⲕⲧ ⲉⲃⲟⲗ ϩⲙⲡⲁ[_]ⲱⲛ ⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲧⲁϥⲧⲁϩⲙⲉⲧ [_]ⲣⲟϥ ·	ⲁⲣⲓⲡⲁⲙⲉⲉⲩⲉ ϭⲉ ⲱ ⲡⲁⲥⲟⲛ ⲙⲙⲉⲣⲓⲧ ⲛⲧⲉⲡϫⲟⲉⲓⲥ ϫⲱⲕⲧ ⲉⲃⲟⲗ ϩⲙⲡⲁⲅⲱⲛ ⲉⲧⲛⲁⲛⲟⲩϥ ⲛⲧⲁϥⲧⲁϩⲙⲉⲧ ⲉⲣⲟϥ ·
ϫⲉⲕϫⲱ ⲙⲙⲟⲥ ϫⲉϣⲁⲛⲧ[_]ⲟⲩϣⲱⲡⲉ ⲙⲡϥⲥϭⲏⲣ , ⲉϥϫⲱ ⲙⲙⲟⲥ [_]ⲉϯ[_]ⲁⲃⲱⲕ . ⲉϥⲛⲉϫ ϩⲟⲟⲩ ⲛⲥⲁϩⲟⲟⲩ [_]	ϫⲉⲕϫⲱ ⲙⲙⲟⲥ ϫⲉϣⲁⲛⲧⲉⲟⲩϣⲱⲡⲉ ⲙⲡϥⲥϭⲏⲣ , ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉϯⲛⲁⲃⲱⲕ . ⲉϥⲛⲉϫ ϩⲟⲟⲩ ⲛⲥⲁϩⲟⲟⲩ .
ⲁⲩⲱ ⲛⲧⲉⲩⲛⲟⲩ ⲁⲩϣⲁϫⲉ [_]ⲙⲙ[_]ϥ ⲉⲧⲃⲏⲏⲧⲥ .	ⲁⲩⲱ ⲛⲧⲉⲩⲛⲟⲩ ⲁⲩϣⲁϫⲉ ⲛⲙⲙⲁϥ ⲉⲧⲃⲏⲏⲧⲥ .
ⲕⲁⲓ[_]ⲅⲁⲣ ⲡⲣⲱϣⲉ ⲛⲉⲅⲕⲣⲁⲧⲉⲓⲁ ϣⲁⲩⲣⲡⲣⲱⲙⲉ ⲛϭⲱ[_] ⲉⲡⲉϩⲟⲩⲟ ·	ⲕⲁⲓ ⲅⲁⲣ ⲡⲣⲱϣⲉ ⲛⲉⲅⲕⲣⲁⲧⲉⲓⲁ ϣⲁⲩⲣⲡⲣⲱⲙⲉ ⲛϭⲱⲃ ⲉⲡⲉϩⲟⲩⲟ ·
ⲙⲁⲣⲛⲁⲅⲱⲛⲓⲍⲉ[_]·	ⲙⲁⲣⲛⲁⲅⲱⲛⲓⲍⲉ ·
ⲡⲡⲉⲧⲟⲩⲁⲁⲃ ⲇⲉ ⲛⲧⲟϥ ⲇⲏⲙⲏ[_]ⲣⲓⲟⲥ ⲉⲛⲉⲛⲧⲁϥⲛⲕⲟⲧⲕ ⲙⲛⲧ[_]ϥⲥϩⲓⲙⲉ · ⲛⲉⲙⲛⲛⲟ[_]ⲉ[_]ⲉⲣⲟϥ ⲡⲉ ⲛⲧⲁⲩϣⲟⲛⲃⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲛⲟⲩⲧ[_] ·	ⲡⲡⲉⲧⲟⲩⲁⲁⲃ ⲇⲉ ⲛⲧⲟϥ ⲇⲏⲙⲏⲧⲣⲓⲟⲥ ⲉⲛⲉⲛⲧⲁϥⲛⲕⲟⲧⲕ ⲙⲛⲧⲉϥⲥϩⲓⲙⲉ · ⲛⲉⲙⲛⲛⲟⲃⲉ ⲉⲣⲟϥ ⲡⲉ ⲛⲧⲁⲩϣⲟⲛⲃⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲛⲟⲩⲧⲉ ·
ⲓⲱϩⲁⲛⲛⲏⲥ ⲇⲉ ⲡⲉϫⲁϥ ⲙⲡϩⲙϩⲁⲗ ⲉⲧⲙⲟⲟ[_]ⲉ ⲛⲙⲙⲁϥ ϫⲉⲧⲱⲟⲩⲛ ⲛⲅⲃⲱⲕ ⲉⲡⲡⲁⲗ[_]ⲁϯⲟⲛ ϩ[_]ϩⲧⲛⲛⲉⲥⲭⲟⲗⲁⲥⲧⲓⲕⲟⲥ ⲛⲅⲛⲁⲩ ϫⲉⲁ[_]ⲥⲱⲟⲩϩ ⲧⲏⲣⲟⲩ ⲛⲅⲉⲓ ⲛⲅⲧⲁⲙⲟⲓ [_]ⲛⲟ[_]ϭⲉⲡⲏ	ⲓⲱϩⲁⲛⲛⲏⲥ ⲇⲉ ⲡⲉϫⲁϥ ⲙⲡϩⲙϩⲁⲗ ⲉⲧⲙⲟⲟϣⲉ ⲛⲙⲙⲁϥ ϫⲉⲧⲱⲟⲩⲛ ⲛⲅⲃⲱⲕ ⲉⲡⲡⲁⲗⲗⲁϯⲟⲛ ϩⲁϩⲧⲛⲛⲉⲥⲭⲟⲗⲁⲥⲧⲓⲕⲟⲥ ⲛⲅⲛⲁⲩ ϫⲉⲁⲩⲥⲱⲟⲩϩ ⲧⲏⲣⲟⲩ ⲛⲅⲉⲓ ⲛⲅⲧⲁⲙⲟⲓ ϩⲛⲟⲩϭⲉⲡⲏ
ⲛⲧⲟⲟⲩ ϩⲱⲟⲩ ⲙⲛⲡⲉⲩⲉⲓⲱⲧ ⲉⲧ[_]ⲩⲏϩ ⲛϩⲏⲧⲟⲩ ⲓⲏⲥⲟⲩⲥ[_]ⲉⲧⲟⲩⲕⲱ ⲛϩⲧⲏ[_] ⲉⲣⲟϥ ·	ⲛⲧⲟⲟⲩ ϩⲱⲟⲩ ⲙⲛⲡⲉⲩⲉⲓⲱⲧ ⲉⲧⲟⲩⲏϩ ⲛϩⲏⲧⲟⲩ ⲓⲏⲥⲟⲩⲥ ⲉⲧⲟⲩⲕⲱ ⲛϩⲧⲏⲩ ⲉⲣⲟϥ ·
ⲛⲧⲁⲩ[_]ⲉⲡⲧⲏⲩⲧⲛ ϩⲁⲟⲩⲁⲥⲟⲩ ·	ⲛⲧⲁⲩϣⲉⲡⲧⲏⲩⲧⲛ ϩⲁⲟⲩⲁⲥⲟⲩ ·
ⲁⲩⲙⲉⲕⲙⲟⲩⲕⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏ[_] ϫⲉⲙⲛⲧⲟ[_]ⲟⲉⲓⲕ ⲙⲙⲁⲩ .	ⲁⲩⲙⲉⲕⲙⲟⲩⲕⲟⲩ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ ϫⲉⲙⲛⲧⲟⲩⲟⲉⲓⲕ ⲙⲙⲁⲩ .
ⲉⲧⲃⲉⲟⲩ ⲙⲡⲕⲛⲁϩϥ ⲛ[_]ⲉⲣⲟ[_]ⲡⲱϩⲧ ⲉⲃⲟⲗ ϩⲛⲧⲉⲕⲙⲏⲧⲉ ⲙⲡⲉⲥⲛⲟϥ ⲛⲍⲁ[_]ⲁⲣⲓⲁⲥ ·	ⲉⲧⲃⲉⲟⲩ ⲙⲡⲕⲛⲁϩϥ ⲛⲧⲉⲣⲟⲩⲡⲱϩⲧ ⲉⲃⲟⲗ ϩⲛⲧⲉⲕⲙⲏⲧⲉ ⲙⲡⲉⲥⲛⲟϥ ⲛⲍⲁⲭⲁⲣⲓⲁⲥ ·
ⲉϥϩⲁⲣⲉϩ ⲛⲁϥ ⲉⲧⲙⲛⲧⲣⲣⲟ [_]ⲙⲡⲏⲩⲉ ·	ⲉϥϩⲁⲣⲉϩ ⲛⲁϥ ⲉⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ ·
ⲛⲉⲩⲕⲗⲏⲣⲟⲥ ⲛⲥ[_]ⲛⲁϯϩⲏⲩ ⲛⲁⲩ ⲁⲛ ·	ⲛⲉⲩⲕⲗⲏⲣⲟⲥ ⲛⲥⲉⲛⲁϯϩⲏⲩ ⲛⲁⲩ ⲁⲛ ·
ⲉⲩϫⲓⲟⲩⲁ ⲉⲣⲟⲛ . ⲧⲛⲡ[_]ⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲟⲟⲩ[_]ⲛⲧϩⲉ ⲛⲛⲉⲓⲡⲉ[_]ⲓⲕⲁⲑⲁⲣⲙⲁ ⲙⲡⲕⲟⲥⲙⲟⲥ ⲁⲛⲣϣϥⲉ ⲛⲟⲩ[_]ⲛ ⲛⲓⲙ ϣⲁϩⲣⲁⲓ ⲉⲧⲉⲓⲟⲩⲛⲟ[_] .	ⲉⲩϫⲓⲟⲩⲁ ⲉⲣⲟⲛ . ⲧⲛⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲟⲟⲩ ⲛⲧϩⲉ ⲛⲛⲉⲓⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ ⲙⲡⲕⲟⲥⲙⲟⲥ ⲁⲛⲣϣϥⲉ ⲛⲟⲩⲟⲛ ⲛⲓⲙ ϣⲁϩⲣⲁⲓ ⲉⲧⲉⲓⲟⲩⲛⲟⲩ .
ⲛ[_]ⲟϥ ⲡⲉ ⲡⲁⲣⲭⲱⲛ ⲛⲧⲡⲟⲗⲓⲥ ·	ⲛⲧⲟϥ ⲡⲉ ⲡⲁⲣⲭⲱⲛ ⲛⲧⲡⲟⲗⲓⲥ ·
ⲧⲉⲛⲟⲩ ⲇⲉ ⲁⲓϩⲉ ⲉⲣⲟⲕ · ⲁ[_]ⲱ ⲁⲓϫⲱⲕ ⲉ[_]ⲟⲗ ⲛⲧⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛⲧⲁ[_]ⲧⲁⲛϩⲟⲩⲧ ⲉⲣⲟⲥ ·	ⲧⲉⲛⲟⲩ ⲇⲉ ⲁⲓϩⲉ ⲉⲣⲟⲕ · ⲁⲩⲱ ⲁⲓϫⲱⲕ ⲉⲃⲟⲗ ⲛⲧⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲛⲧⲁⲕⲧⲁⲛϩⲟⲩⲧ ⲉⲣⲟⲥ ·
ⲁⲩⲱ ⲉⲃ[_]ⲗ ϩⲛⲧⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ [_]ⲡⲉⲧⲙⲙⲁⲩ ⲕⲛⲁⲣ[_]ⲟⲧⲉ ϩⲱⲱⲕ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ .	ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲛⲧⲙⲛⲧⲣⲉϥⲣϩⲟⲧⲉ ⲙⲡⲉⲧⲙⲙⲁⲩ ⲕⲛⲁⲣϩⲟⲧⲉ ϩⲱⲱⲕ ⲛϩⲏⲧϥ ⲙⲡⲛⲟⲩⲧⲉ .
ⲡⲁϥⲱ ⲇⲉ ⲁϥⲁⲩⲝⲁⲛⲉ [_][_]ⲁⲩⲱ ⲛⲁϩⲟⲉⲓⲧⲉ ⲁⲩⲧⲁⲕⲟ ⲉⲡⲧⲏⲣϥ ·	ⲡⲁϥⲱ ⲇⲉ ⲁϥⲁⲩⲝⲁⲛⲉ · ⲁⲩⲱ ⲛⲁϩⲟⲉⲓⲧⲉ ⲁⲩⲧⲁⲕⲟ ⲉⲡⲧⲏⲣϥ ·
ⲕⲁⲣⲱⲕ ⲡⲁϣⲏⲣ[_] · ϥⲥⲏϩ ⲅⲁⲣ [_]ⲉⲡⲥⲁⲃⲉ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧⲙⲙⲁⲩ [_]ⲛⲁⲕⲁⲣⲱϥ ·	ⲕⲁⲣⲱⲕ ⲡⲁϣⲏⲣⲉ · ϥⲥⲏϩ ⲅⲁⲣ ϫⲉⲡⲥⲁⲃⲉ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧⲙⲙⲁⲩ ϥⲛⲁⲕⲁⲣⲱϥ ·
ⲓⲁⲕⲱ[_] ⲇⲉ ⲛⲉϥⲟⲩⲱϣ ⲡⲉ ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ ϣⲱⲡ[_] [_]ⲁϥ ⲉⲃⲟⲗ ϩⲛϩⲣⲁⲭⲏⲗ ·	ⲓⲁⲕⲱⲃ ⲇⲉ ⲛⲉϥⲟⲩⲱϣ ⲡⲉ ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ ϣⲱⲡⲉ ⲛⲁϥ ⲉⲃⲟⲗ ϩⲛϩⲣⲁⲭⲏⲗ ·
ⲁϩⲣⲟϥ [_]ϥ[_]ⲟⲟⲥ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲉⲃⲟ[_] ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ϫⲉⲉⲣϣⲁⲛⲡⲉⲕϫⲁϫⲉ ϩⲕⲟ ⲙⲁⲧⲙⲙⲟ[_] ⲁⲩⲱ ⲉϥϣⲁⲛⲉⲓⲃⲉ ⲙⲁⲧⲥⲟ[_]	ⲁϩⲣⲟϥ ⲁϥϫⲟⲟⲥ ⲛϭⲓⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ϫⲉⲉⲣϣⲁⲛⲡⲉⲕϫⲁϫⲉ ϩⲕⲟ ⲙⲁⲧⲙⲙⲟϥ ⲁⲩⲱ ⲉϥϣⲁⲛⲉⲓⲃⲉ ⲙⲁⲧⲥⲟϥ
[_]ⲕⲧⲙϫⲓⲃⲁⲡⲧⲓⲥⲙ[_] ⲅⲁⲣ ⲙⲉⲕϫⲓ ⲡⲉⲥⲛⲟϥ ·	ⲉⲕⲧⲙϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ ⲅⲁⲣ ⲙⲉⲕϫⲓ ⲡⲉⲥⲛⲟϥ ·
ⲁϥⲁ[_]ⲉⲣⲁⲧϥ ϩⲙⲡⲉϥⲙⲁ ⲉϥϫⲱ ⲙⲙⲟⲥ · [_]ⲉ[_]ⲁⲡⲥ ⲡⲉ ⲉⲧⲣⲉⲡⲉⲛⲧⲁϥⲥⲟⲣⲙⲉⲥ ⲉⲓ .	ⲁϥⲁϩⲉⲣⲁⲧϥ ϩⲙⲡⲉϥⲙⲁ ⲉϥϫⲱ ⲙⲙⲟⲥ · ϫⲉϩⲁⲡⲥ ⲡⲉ ⲉⲧⲣⲉⲡⲉⲛⲧⲁϥⲥⲟⲣⲙⲉⲥ ⲉⲓ .
ⲛⲟⲉⲙⲓⲛ ⲇⲉ ⲡⲉϫⲁⲥ ⲛⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥ[_]ⲧⲉ ϫⲉⲃⲱⲕ ⲛⲧⲉⲧⲛⲕⲧⲉⲧⲏⲩⲧⲛ ⲛ[_]ⲓⲧⲟⲩⲓ ⲧⲟⲩⲓ ⲙⲙ[_]ⲧⲛ ⲉⲡⲏⲓ [_]ⲧⲉⲥⲙⲁⲁⲩ	ⲛⲟⲉⲙⲓⲛ ⲇⲉ ⲡⲉϫⲁⲥ ⲛⲧⲉⲥϣⲉⲗⲉⲉⲧ ⲥⲛⲧⲉ ϫⲉⲃⲱⲕ ⲛⲧⲉⲧⲛⲕⲧⲉⲧⲏⲩⲧⲛ ⲛϭⲓⲧⲟⲩⲓ ⲧⲟⲩⲓ ⲙⲙⲱⲧⲛ ⲉⲡⲏⲓ ⲛⲧⲉⲥⲙⲁⲁⲩ
ⲙⲁⲣⲉϥⲟⲩⲛⲟϥ ⲉⲧⲉⲧⲛⲕⲟ[_]ⲛⲱⲛⲉⲓ · ⲉⲛⲁⲅ[_]ⲑⲟⲛ ⲙⲛⲛⲉⲣⲏⲧ ·	ⲙⲁⲣⲉϥⲟⲩⲛⲟϥ ⲉⲧⲉⲧⲛⲕⲟⲓⲛⲱⲛⲉⲓ · ⲉⲛⲁⲅⲁⲑⲟⲛ ⲙⲛⲛⲉⲣⲏⲧ ·
ⲉⲁϥⲛⲁ ⲛⲁⲕ ⲁϥⲃⲱⲕ [_]ⲉ ⲁϥⲁⲣⲭⲉⲥⲑⲁⲓ ⲛⲧⲁϣⲉⲟⲉⲓϣ ϩⲛⲧ[_]ⲉⲕⲁⲡⲟⲗⲓⲥ[_]ⲛⲛⲉⲛⲧⲁⲓⲏⲥⲟⲩⲥ ⲁⲁⲩ ⲛⲁϥ . ⲁⲩⲱ ⲁⲩⲣϣⲡⲏⲣⲉ[_]ⲧ[_]ⲣⲟⲩ	ⲉⲁϥⲛⲁ ⲛⲁⲕ ⲁϥⲃⲱⲕ ⲇⲉ ⲁϥⲁⲣⲭⲉⲥⲑⲁⲓ ⲛⲧⲁϣⲉⲟⲉⲓϣ ϩⲛⲧⲇⲉⲕⲁⲡⲟⲗⲓⲥ ⲛⲛⲉⲛⲧⲁⲓⲏⲥⲟⲩⲥ ⲁⲁⲩ ⲛⲁϥ . ⲁⲩⲱ ⲁⲩⲣϣⲡⲏⲣⲉ ⲧⲏⲣⲟⲩ
ⲁⲩⲱ ⲛⲉ[_]ϫⲱⲕ ⲉⲃⲟⲗ ⲙⲡϣⲁϫⲉ ⲛⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓ[_]ⲧⲟ[_] ·	ⲁⲩⲱ ⲛⲉϥϫⲱⲕ ⲉⲃⲟⲗ ⲙⲡϣⲁϫⲉ ⲛⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ ·
