masked	src
[MASK] ke· nė èſmeꝛtėc== ==mg,	O̗k ke· nė èſmeꝛtėc== ==mg,
Tu̇ mèſteꝛtec nē [MASK] m̄g a· didragmat.	Tu̇ mèſteꝛtec nē fiʒèti m̄g a· didragmat.
ki v· Adame,	ki v· Adame,
Ianus baptiſtatol nagob ꝓphā nič nemberiècnᶜ [MASK] ko̗ʒo̗t.	Ianus baptiſtatol nagob ꝓphā nič nemberiècnᶜ ʒu̇lo̗tti ko̗ʒo̗t.
⁊ nē èſmèꝛtec== [MASK] o̗tèt,	⁊ nē èſmèꝛtec== ==m̄g o̗tèt,
aldýon mýnketh ýsten,	aldýon mýnketh ýsten,
Es megko̗ńuèʒe iᶜ.	Es megko̗ńuèʒe iᶜ.
m̄g_kèꝛèſni ⁊ v̇duo̗ʒeitèni,	m̄g_kèꝛèſni ⁊ v̇duo̗ʒeitèni,
èʒec,	èʒec,
ki vala Cana ǵalileabol,	ki vala Cana ǵalileabol,
Es mÿkoron ezebe vewtte uolna ewttett [MASK] frater egÿednek,	Es mÿkoron ezebe vewtte uolna ewttett lennÿ frater egÿednek,
mert az [MASK] imadsagot isten meg nem halgattʼa,	mert az olʼ imadsagot isten meg nem halgattʼa,
hoǵnemmÿnt hoǵh az [MASK] ruha-@@ÿat ÿlletuen.	hoǵnemmÿnt hoǵh az cristusnak ruha-@@ÿat ÿlletuen.
Kiert o̗rdo̗g fizet neki,	Kiert o̗rdo̗g fizet neki,
Kèꝛdlec teged [MASK] elo̗ iſtènrè,	Kèꝛdlec teged aʒ elo̗ iſtènrè,
ellensegnec ellene lo̗uo̗ldo̗zo̗ ńil,	ellensegnec ellene lo̗uo̗ldo̗zo̗ ńil,
Kinᶜ ke· kèueſeb bočattatic,	Kinᶜ ke· kèueſeb bočattatic,
kell,	kell,
Igaz- -wtath akaratom [MASK] el_hattam,	Igaz- -wtath akaratom zerent' el_hattam,
Es ime, eg Joſeph nèuo̗ [MASK] [MASK] ki vala io hires èmbeꝛ ⁊ iǵaʒ,	Es ime, eg Joſeph nèuo̗ fėꝛfiu, ki vala io hires èmbeꝛ ⁊ iǵaʒ,
mi èʒ,	mi èʒ,
⁊ vèttèlèc tu̇to̗kèt,	⁊ vèttèlèc tu̇to̗kèt,
Tahat fèlèlnᶜ nèki aʒ igaʒac [MASK]:	Tahat fèlèlnᶜ nèki aʒ igaʒac mōduan:
mōd mu̇nèko̗nc:	mōd mu̇nèko̗nc:
kinèc [MASK] vagoc melto ſaruiat es viſèlnėm.	kinèc nē vagoc melto ſaruiat es viſèlnėm.
mellèc mōdatnac uala o̗rolla,	mellèc mōdatnac uala o̗rolla,
⁊ kic o̗ꝛègbèc,	⁊ kic o̗ꝛègbèc,
⁊ meǵʒ́oreitotta uolna o̗== ==magat [MASK]	⁊ meǵʒ́oreitotta uolna o̗== ==magat.
hogÿ cristusnak (se) zerelmeert kerestfanak serelmeben, auagÿ kynÿaban ygaz fezwlewt cristosual fÿgene [MASK]	hogÿ cristusnak (se) zerelmeert kerestfanak serelmeben, auagÿ kynÿaban ygaz fezwlewt cristosual fÿgene.
o̗rdo̗g azt nem feli,	o̗rdo̗g azt nem feli,
mēd a· nėp [MASK] mūkèt.	mēd a· nėp meǵko̗uèʒ mūkèt.
