masked	src
O̗k ke· nė[_]èſmeꝛtėc== ==mg,	O̗k ke· nė èſmeꝛtėc== ==mg,
Tu̇ mèſteꝛtec nē fiʒèt[_] m̄g a· didr[_]gmat.	Tu̇ mèſteꝛtec nē fiʒèti m̄g a· didragmat.
ki v· Ada[_]e,	ki v· Adame,
Ianus baptiſtatol n[_]gob ꝓphā nič nem[_]er[_]ècnᶜ ʒu̇lo̗tti ko̗ʒo̗t.	Ianus baptiſtatol nagob ꝓphā nič nemberiècnᶜ ʒu̇lo̗tti ko̗ʒo̗t.
⁊ nē èſmèꝛtec== ==m̄[_] o̗tèt,	⁊ nē èſmèꝛtec== ==m̄g o̗tèt,
al[_]ýon mýnketh ýsten,	aldýon mýnketh ýsten,
Es megko[_]ńuèʒe iᶜ.	Es megko̗ńuèʒe iᶜ.
m̄g_kèꝛèſni ⁊[_]v̇duo̗ʒeitèni,	m̄g_kèꝛèſni ⁊ v̇duo̗ʒeitèni,
èʒec,	èʒec,
ki v[_]la Cana ǵalileabol,	ki vala Cana ǵalileabol,
Es mÿkoron ezebe vewtte uolna ew[_]tett lennÿ frater[_]egÿedne[_],	Es mÿkoron ezebe vewtte uolna ewttett lennÿ frater egÿednek,
mert[_]az olʼ imadsagot isten meg[_]nem halgattʼa,	mert az olʼ imadsagot isten meg nem halgattʼa,
hoǵnem[_]ÿn[_] hoǵh az cristusnak ruha-@@ÿat ÿlletuen.	hoǵnemmÿnt hoǵh az cristusnak ruha-@@ÿat ÿlletuen.
Kiert o̗rdo[_]g fizet neki,	Kiert o̗rdo̗g fizet neki,
Kèꝛdlec teged aʒ[_]elo̗ iſt[_]nrè,	Kèꝛdlec teged aʒ elo̗ iſtènrè,
ellenseg[_]ec ellen[_] lo̗uo̗ldo̗zo̗ ńil,	ellensegnec ellene lo̗uo̗ldo̗zo̗ ńil,
Kinᶜ k[_]· kèueſeb bočattatic,	Kinᶜ ke· kèueſeb bočattatic,
kell,	kell,
Ig[_]z- -wtath aka[_]atom zerent' el_hattam,	Igaz- -wtath akaratom zerent' el_hattam,
Es ime, eg Joſeph nè[_]o̗ fėꝛfiu,[_]ki vala[_]io hires èmbeꝛ ⁊ iǵaʒ,	Es ime, eg Joſeph nèuo̗ fėꝛfiu, ki vala io hires èmbeꝛ ⁊ iǵaʒ,
mi èʒ,	mi èʒ,
⁊ [_]èttèlèc tu̇to̗kèt,	⁊ vèttèlèc tu̇to̗kèt,
Tah[_]t fèlèlnᶜ nèki aʒ igaʒac [_]ōduan:	Tahat fèlèlnᶜ nèki aʒ igaʒac mōduan:
mōd mu[_]nèko̗nc:	mōd mu̇nèko̗nc:
kinèc nē v[_]goc melto ſ[_]ruiat es viſèlnėm.	kinèc nē vagoc melto ſaruiat es viſèlnėm.
mel[_]èc mōdatnac uala o̗rolla,	mellèc mōdatnac uala o̗rolla,
